question,filename
"What exactly is a retrieval-augmented generation system, and why does it help with answers that the model wouldn't know on its own?",01-agentic-rag/lessons/01-intro.md
Why does this course build the RAG project in plain Python instead of starting with a framework or library?,01-agentic-rag/lessons/01-intro.md
What are the main weaknesses of large language models that this module is trying to work around?,01-agentic-rag/lessons/01-intro.md
"What will the course build in the first part of the module, and how is the second part different?",01-agentic-rag/lessons/01-intro.md
"What kind of example app are you building here, and what data will it answer questions from?",01-agentic-rag/lessons/01-intro.md
What do I need installed before starting this module?,01-agentic-rag/lessons/02-environment.md
How do I create the new project from scratch with uv?,01-agentic-rag/lessons/02-environment.md
Which packages should I add for the notebooks and search work?,01-agentic-rag/lessons/02-environment.md
What is the recommended way to keep my API key safe in this setup?,01-agentic-rag/lessons/02-environment.md
How can I use an OpenAI-compatible provider like Groq instead of OpenAI directly?,01-agentic-rag/lessons/02-environment.md
Why does sending a student question directly to a plain LLM usually give a bad answer for course-specific stuff?,01-agentic-rag/lessons/03-rag.md
How can adding FAQ text into the prompt help the model answer a question about enrolling in the course?,01-agentic-rag/lessons/03-rag.md
"What does RAG stand for, and what are the two main parts involved?",01-agentic-rag/lessons/03-rag.md
"What are the three pieces in a basic RAG setup, and what does each one do?",01-agentic-rag/lessons/03-rag.md
Why does the lesson say search quality is so important in a RAG system?,01-agentic-rag/lessons/03-rag.md
"Where does the FAQ data come from, and how do you download it in Python?",01-agentic-rag/lessons/04-dataset.md
"What fields does each FAQ record include, and what do they mean?",01-agentic-rag/lessons/04-dataset.md
How is this FAQ dataset used inside the RAG pipeline?,01-agentic-rag/lessons/04-dataset.md
Why do they use the course slug when searching the FAQ data?,01-agentic-rag/lessons/04-dataset.md
What does the lesson say about data preparation for a real RAG project?,01-agentic-rag/lessons/04-dataset.md
How does a basic search engine decide which documents to show first?,01-agentic-rag/lessons/05-search.md
Why would plain keyword search miss two questions that mean the same thing?,01-agentic-rag/lessons/05-search.md
What’s the point of using an in-memory search tool like minsearch instead of Elasticsearch here?,01-agentic-rag/lessons/05-search.md
"Which fields should be treated as searchable text, and which one should be used only for exact course matching?",01-agentic-rag/lessons/05-search.md
"Why does the example give the question field more weight than the section field, and how does the course filter change the results?",01-agentic-rag/lessons/05-search.md
Why do we need to put the question and search results into the prompt before sending it to the model?,01-agentic-rag/lessons/06-building-prompt.md
What is the difference between the fixed instructions and the user prompt in this setup?,01-agentic-rag/lessons/06-building-prompt.md
How does the instructions part help reduce made-up answers from the model?,01-agentic-rag/lessons/06-building-prompt.md
What does the context string look like when you turn the search results into text?,01-agentic-rag/lessons/06-building-prompt.md
How are the final prompt and the context built from the user’s question and retrieved documents?,01-agentic-rag/lessons/06-building-prompt.md
How do you send the built prompt to the model in this RAG setup?,01-agentic-rag/lessons/07-llm.md
"What’s the difference between OpenAI’s responses API and chat completions, and when would you use each one?",01-agentic-rag/lessons/07-llm.md
"Where do you find the actual text answer in the API result, and is there a shorter way to get it?",01-agentic-rag/lessons/07-llm.md
How do you estimate how much a single RAG request costs with this model?,01-agentic-rag/lessons/07-llm.md
Why does the lesson use a message history with separate instruction and user messages instead of only passing one prompt string?,01-agentic-rag/lessons/07-llm.md
"Why split the RAG pipeline into separate helper files, and what does each one handle?",01-agentic-rag/lessons/08-rag-helper.md
"What functions should go in the data-loading file, and what do they do?",01-agentic-rag/lessons/08-rag-helper.md
Why is the RAG logic wrapped in a class instead of using global variables?,01-agentic-rag/lessons/08-rag-helper.md
How does the search step decide which docs to return and what fields get extra weight?,01-agentic-rag/lessons/08-rag-helper.md
How do you combine the helper files in a notebook to ask a question with the assistant?,01-agentic-rag/lessons/08-rag-helper.md
Why does loading and building the search index at app startup become a problem once the dataset gets bigger?,01-agentic-rag/lessons/09-data-ingestion.md
What’s the difference between using an in-memory index and a persistent one for RAG?,01-agentic-rag/lessons/09-data-ingestion.md
How do you set up the SQLite-backed search index in the ingestion notebook?,01-agentic-rag/lessons/09-data-ingestion.md
Can one process keep adding documents while another process is already searching the same database file?,01-agentic-rag/lessons/09-data-ingestion.md
"When should I keep using minsearch, and when should I switch to sqlitesearch or another persistent backend?",01-agentic-rag/lessons/09-data-ingestion.md
What should I improve next after I already have a basic RAG pipeline working?,01-agentic-rag/lessons/10-rag-next-steps.md
How is an agent different from the simple search-then-answer setup in RAG?,01-agentic-rag/lessons/10-rag-next-steps.md
When would vector search be better than keyword search for a FAQ-style system?,01-agentic-rag/lessons/10-rag-next-steps.md
What makes Elasticsearch a stronger option than a lightweight search tool for real deployments?,01-agentic-rag/lessons/10-rag-next-steps.md
Why would I use retrieval-based RAG instead of fine-tuning the model on my own data?,01-agentic-rag/lessons/10-rag-next-steps.md
Why do fixed RAG pipelines break down when the search step doesn’t find the right info?,01-agentic-rag/lessons/11-agents-intro.md
What kinds of things can an LLM do in an agent that a normal pipeline can’t?,01-agentic-rag/lessons/11-agents-intro.md
What does it mean for a system to be agentic in this lesson?,01-agentic-rag/lessons/11-agents-intro.md
How is an agent different from the simple search-then-answer flow used in the first part?,01-agentic-rag/lessons/11-agents-intro.md
What topics are covered next after this intro to agents?,01-agentic-rag/lessons/11-agents-intro.md
How do I recreate the FAQ-based RAG setup from the earlier part of the course?,01-agentic-rag/lessons/12-rag-revision.md
"What do the `RAGBase`, `load_faq_data`, and `build_index` helpers do in this RAG pipeline?",01-agentic-rag/lessons/12-rag-revision.md
Why does the example with “Olama” fail even though “Ollama” works?,01-agentic-rag/lessons/12-rag-revision.md
What kind of problem is this lesson trying to show with a fixed RAG pipeline?,01-agentic-rag/lessons/12-rag-revision.md
Why does the lesson say we need an agent after this RAG setup?,01-agentic-rag/lessons/12-rag-revision.md
"Why does a basic RAG pipeline fail when the user misspells a query, and how does letting the LLM choose the search step help fix that?",01-agentic-rag/lessons/13-function-calling.md
What’s the difference between a normal RAG flow and an agentic one in terms of who decides what actions happen?,01-agentic-rag/lessons/13-function-calling.md
