question,answer_agent,answer_orig,tool_calls,cost,document
Can I take this course at my own pace and still receive a certificate at the end?,"No — for this course, you can follow it in self-paced mode, but you **won’t receive a certificate** that way.

To get a certificate, you need to finish the course with the **live cohort**, since the certificate depends on participating in the capstone peer-review process, which is only available while the course is running.

If you want, I can also explain the certificate requirements or how the capstone/peer-review process works.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""self-paced certificate at the end course own pace certificate FAQ\""}""}]",0.00120225,69d122f12e
Is a certificate available if I complete the course without joining a live cohort?,"No — certificates are only available if you complete the course with a live cohort. The course doesn’t award certificates for self-paced completion, because the certificate requires peer-reviewing capstone projects, which is only possible while the live course is running.

If you want, I can also explain how the capstone/peer-review part works.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""certificate complete course without joining live cohort self-paced certificate live cohort\""}""}]",0.00115725,69d122f12e
Do self-paced learners get any certificate for finishing all the materials?,"No — self-paced learners do not get a certificate just for finishing all the materials.

For this course, certificates are only awarded if you finish with a live cohort, because certificate eligibility depends on being able to peer-review capstone projects while the course is running.

If you want, I can also explain what you need to do to qualify for a certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""self-paced learners certificate finishing all materials certificate course FAQ\""}""}]",0.00111975,69d122f12e
Why are certificates not issued for the self-paced version of the course?,"Certificates aren’t issued for the self-paced version because the course requires **peer review of 3 capstone projects**, and that’s only possible while the course is running live.

In other words:
- You can follow the content self-paced,
- but to get a certificate, you must complete the course with a **live cohort**,
- because the peer-review process closes after the submission period ends.

If you want, I can also explain how the certificate process works during the live cohort.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""certificates not issued self-paced version of the course FAQ self-paced certificates\""}""}]",0.001275,69d122f12e
Is peer review of capstone projects required in order to qualify for the certificate?,"Yes — peer review of capstone projects is required to qualify for the certificate.

According to the course FAQ:
- You can only get a certificate if you finish the course with a live cohort.
- As part of that, you need to peer-review 3 capstone projects after submitting your own project.
- If you do not comply with the peer-review requirement, you may fail to achieve the certificate.

If you want, I can also explain when the reviews happen and how projects are assigned.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""peer review capstone projects required qualify certificate certificate FAQ capstone peer review\""}""}]",0.00133125,69d122f12e
How do students join the Office Hours or live workshop stream if the Zoom link is only for instructors and TAs?,"Students don’t use the Zoom link directly. The Zoom link is only for instructors, presenters, and TAs.

For students:
- Join via **YouTube Live** for the stream
- Ask questions through **Slido** — the link is pinned in the live chat
- The stream link is usually posted in the **announcements channel on Telegram & Slack** before it starts
- You can also watch on the **DataTalksClub YouTube channel**

So, if you’re a student, use the YouTube/Slido path rather than the instructor Zoom link.

Are there other areas you want to explore?","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram & Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""Office Hours live workshop stream Zoom link instructors TAs students join Office Hours live workshop stream student access\""}""}]",0.00163425,489dd1c9d9
Where should I look for the live video URL before an Office Hours session starts?,"Before an Office Hours session starts, look for the live video URL in the **announcements channel on Telegram & Slack**. The link is usually posted there before the session begins.

You can also watch the session live on the **DataTalksClub YouTube channel**. Note that the Zoom link itself is only for instructors/presenters/TAs, not students.

Would you like me to help with anything else related to Office Hours or course logistics?","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram & Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""live video URL Office Hours session starts where to look before session starts\""}""}]",0.001620,489dd1c9d9
"Can I watch the workshop live on YouTube, and if so, which channel is used?","Yes — you can watch the workshop live on YouTube, and it’s streamed on the DataTalksClub YouTube channel:  
https://www.youtube.com/c/DataTalksClub

The Zoom link is only for instructors/presenters/TAs, while students watch via YouTube Live. The live video URL is usually posted in the announcements channel on Telegram & Slack before it starts.

If you want, I can also tell you where questions should be submitted during the live session.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram & Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""watch workshop live on YouTube which channel used live YouTube workshop channel\""}""}]",0.00146475,489dd1c9d9
How are questions supposed to be submitted during the live session instead of posting them in chat?,"Questions during the live session should be submitted via **Slido**, not in the chat. The Slido link is usually **pinned in the chat when the session is live**.

Also, the chat can get very busy, so questions posted there may be missed.

If you want, I can also tell you where to find the live session link and announcements.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram & Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""questions submitted during live session instead of posting them in chat live session questions submitted not chat FAQ\""}""}]",0.0014460,489dd1c9d9
Why shouldn’t I ask questions in the chat during a very active live stream?,"You shouldn’t ask questions in the chat during a very active live stream because your message may get buried and missed by the instructors or TAs.

The recommended way is to use the live Q&A channel/pinned Slido link for questions instead.

If you want, I can also explain the best way to ask questions during live sessions or where to find the pinned question link.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram & Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.","[{""name"": ""search"", ""arguments"": ""{\""query\"":\""chat during very active live stream ask questions why shouldn't I ask questions active live stream FAQ\""}""}]",0.00143325,489dd1c9d9
