question,course,document
Can I take this course at my own pace and still receive a certificate at the end?,llm-zoomcamp,69d122f12e
Is a certificate available if I complete the course without joining a live cohort?,llm-zoomcamp,69d122f12e
Do self-paced learners get any certificate for finishing all the materials?,llm-zoomcamp,69d122f12e
Why are certificates not issued for the self-paced version of the course?,llm-zoomcamp,69d122f12e
Is peer review of capstone projects required in order to qualify for the certificate?,llm-zoomcamp,69d122f12e
How do students join the Office Hours or live workshop stream if the Zoom link is only for instructors and TAs?,llm-zoomcamp,489dd1c9d9
Where should I look for the live video URL before an Office Hours session starts?,llm-zoomcamp,489dd1c9d9
"Can I watch the workshop live on YouTube, and if so, which channel is used?",llm-zoomcamp,489dd1c9d9
How are questions supposed to be submitted during the live session instead of posting them in chat?,llm-zoomcamp,489dd1c9d9
Why shouldn’t I ask questions in the chat during a very active live stream?,llm-zoomcamp,489dd1c9d9
"I just found this course. Am I still allowed to join now, and does that affect my chance to get a certificate?",llm-zoomcamp,74eb249bbf
"If I sign up late, what do I need to do in order to still earn the course certificate?",llm-zoomcamp,74eb249bbf
"Is it okay to start the course after it has already begun, or is there a deadline for joining?",llm-zoomcamp,74eb249bbf
"Can I still submit the final project after joining late, and will that count toward certification?",llm-zoomcamp,74eb249bbf
What is the latest point at which I can join the course and still be eligible for a certificate?,llm-zoomcamp,74eb249bbf
"I registered for the LLM Zoomcamp, but I still haven’t gotten any confirmation email — should I be worried or wait for something to arrive?",llm-zoomcamp,977bf7786c
"Do I actually need a confirmation email before I can start the course and submit homework, or can I begin right away?",llm-zoomcamp,977bf7786c
"Is the course checking homework submissions against a list of registered students, or can anyone submit while the form is open?",llm-zoomcamp,977bf7786c
What is the purpose of registration if there is no confirmation email and no checked registration list?,llm-zoomcamp,977bf7786c
"If I already signed up, does that mean I’m accepted, or is there another approval step later?",llm-zoomcamp,977bf7786c
How can I find my own entry on the leaderboard if I can’t spot it right away?,llm-zoomcamp,c2903069a0
Why do I appear under a random name on the leaderboard when I create an account?,llm-zoomcamp,c2903069a0
Where can I check what my current display name or nickname is in the course platform?,llm-zoomcamp,c2903069a0
What should I edit if I want my leaderboard name to be different from the default one?,llm-zoomcamp,c2903069a0
Which name field do I need to set to make sure my certificate shows my official name instead of the random default?,llm-zoomcamp,c2903069a0
What are some cloud GPU alternatives I can use for the course besides the usual options like Colab or Kaggle?,llm-zoomcamp,c6c2888275
"How does the free-hours quota work on cloud platforms — is it monthly or weekly, and what happens if I change the configuration?",llm-zoomcamp,c6c2888275
Could changing the setup on a GPU cloud service reduce my free usage allowance or make it bill separately?,llm-zoomcamp,c6c2888275
Are there platforms like Databricks that might work for running course notebooks with GPUs?,llm-zoomcamp,c6c2888275
What should I check about install permissions and free versus paid tiers before choosing a GPU cloud service?,llm-zoomcamp,c6c2888275
Why do the homework materials seem to change so often in this course?,llm-zoomcamp,96286b4be4
"Is the course still being finalized, or is everything already set in place?",llm-zoomcamp,96286b4be4
"If I start the homework before a module is officially ready, could the final version be different from what I worked on?",llm-zoomcamp,96286b4be4
Will updates to the course material be announced once a module is finished and ready?,llm-zoomcamp,96286b4be4
"Is it safe to work ahead on the assignments, or should I wait until the module is released?",llm-zoomcamp,96286b4be4
"Where can I find the course lectures or videos, and is there a specific YouTube channel I should check?",llm-zoomcamp,31456f4b5f
"If I’m looking for the class recordings, should I look at the bookmarks or pinned links first?",llm-zoomcamp,31456f4b5f
Is there a place where all the lecture videos are collected for this course?,llm-zoomcamp,31456f4b5f
"Besides the main course page, which links are recommended for finding the videos?",llm-zoomcamp,31456f4b5f
Which YouTube account does the course use for the lecture videos?,llm-zoomcamp,31456f4b5f
When is the next time this course will run?,llm-zoomcamp,bd31146b0e
Do you know the next offering date for the course?,llm-zoomcamp,bd31146b0e
What term is the course scheduled for next?,llm-zoomcamp,bd31146b0e
When should I expect the course to be available again?,llm-zoomcamp,bd31146b0e
Is the next course session planned for Summer 2025?,llm-zoomcamp,bd31146b0e
"If I missed the first homework, am I still eligible for the certificate as long as I complete the Capstone project?",llm-zoomcamp,9f689c185f
"Do I have to submit every homework assignment to receive the course certificate, or is that optional?",llm-zoomcamp,9f689c185f
"What is required to earn the certificate in this course, and does the Capstone project matter more than homework?",llm-zoomcamp,9f689c185f
"Are homework submissions mandatory for certification, or are they mainly recommended for practice and leaderboard points?",llm-zoomcamp,9f689c185f
"Can I still get certified if I skip some homework, provided I pass the Capstone project?",llm-zoomcamp,9f689c185f
"Why does WSL2 say the model needs more system memory than is available even though my PC has enough RAM, and how can I fix it?",llm-zoomcamp,f3dd94f323
