question,document
Is it okay to join the course late if I just found it now?,74eb249bbf
Can I still take this course even if I missed the start date?,74eb249bbf
"If I join after the course has already started, am I still eligible for a certificate?",74eb249bbf
Do I need to submit my project before submissions close to get the certificate?,74eb249bbf
I’m a bit late to the course—what do I need to do to still earn the certificate?,74eb249bbf
I registered for the LLM Zoomcamp — when should I expect a confirmation email?,977bf7786c
Do I actually need an acceptance email before I can start the course and hand in homework?,977bf7786c
"If I filled out the registration form, does that mean I’m officially on a checked list for the course?",977bf7786c
"Is registering for the LLM Zoomcamp required, or is it just for estimating interest before the course starts?",977bf7786c
Can I begin learning and submit homework even if I never got any email after signing up?,977bf7786c
How do I join the Office Hours or live workshop if I don’t have the Zoom link?,489dd1c9d9
"Where can I watch the live sessions for the course, and how do I ask questions during them?",489dd1c9d9
"Is the Zoom link for the workshop shared with students, or only with the teaching team?",489dd1c9d9
What’s the best way to follow the live Office Hours stream if I’m a student?,489dd1c9d9
"Should I type my questions in the live chat during Office Hours, or use something else?",489dd1c9d9
"How do the free GPU hours work on these cloud options — is the limit monthly, weekly, or something else?",c6c2888275
"If I change the setup or configuration, does that affect the free GPU quota or get billed separately?",c6c2888275
What are some good free or low-cost cloud alternatives with GPU for this course besides the usual ones?,c6c2888275
"Can I use Google Colab, Kaggle, or Databricks for the course notebooks and GPU tasks?",c6c2888275
"Are there any restrictions on what I can install on these free GPU platforms, and how do I check what’s included in the free plan?",c6c2888275
How do I find my row on the leaderboard if I can’t see my name right away?,c2903069a0
Why does the leaderboard show some random nickname instead of my real name?,c2903069a0
Where can I check what display name I’m using for the course?,c2903069a0
"Can I change the name that appears publicly, like to my Slack or GitHub name?",c2903069a0
What should I put in the profile fields so my certificate doesn’t use the default random name?,c2903069a0
Can I do the course at my own pace and still get a certificate at the end?,69d122f12e
"If I take the self-paced version, is there any way to earn the course certificate?",69d122f12e
Do certificates only count for people who finish with the live cohort?,69d122f12e
Why doesn’t the self-paced mode come with a certificate?,69d122f12e
Is peer-review of the capstone project required in order to receive the certificate?,69d122f12e
Can I still get the certificate if I skipped the first homework?,9f689c185f
Do I have to do all the homework to receive the certificate for this course?,9f689c185f
What do I actually need to pass in order to get the certificate?,9f689c185f
"Is homework mandatory, or is it just optional practice for the course?",9f689c185f
"If homework isn't required, does it still affect anything like my ranking or points?",9f689c185f
Why does the homework content keep changing in this course?,96286b4be4
"Is the material already finalized, or can it still change later?",96286b4be4
"If I start working on the homework now, could the final version be different?",96286b4be4
How will I know when a module is actually ready and settled?,96286b4be4
"Is it safe to do the course work in advance, or should I wait until updates are announced?",96286b4be4
When is the next time this course will be offered?,bd31146b0e
Do you know when the next course session starts?,bd31146b0e
"Will there be another run of this course, and if so, when?",bd31146b0e
What's the next scheduled offering for this course?,bd31146b0e
Can you tell me when the course is coming back?,bd31146b0e
Where can I find the course lectures or videos for this class?,31456f4b5f
Are the recordings or lecture videos posted somewhere I can watch them?,31456f4b5f
I’m looking for the videos—should I check the bookmarks or pinned links?,31456f4b5f
Is there a specific YouTube channel for the course lectures?,31456f4b5f
"Where are the lecture videos linked, and what should I check first?",31456f4b5f
