question,answer_llm,answer_orig,document
Is it okay to join the course late if I just found it now?,"Yes, you can still join the course late. If you want a certificate, though, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Can I still take this course even if I missed the start date?,"Yes, you can still join if you missed the start date, but if you want a certificate, you need to finish with the live cohort and submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I join after the course has already started, am I still eligible for a certificate?","Yes, as long as you join while the course is still running and submit your project before submissions close. Certificates are only available for the live cohort, not for self-paced participation.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
Do I need to submit my project before submissions close to get the certificate?,"Yes — to get the certificate, you need to submit your project while submissions are still open.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I’m a bit late to the course—what do I need to do to still earn the certificate?,"To still earn the certificate, you need to:

- **Finish the course with the live cohort** — certificates are **not** awarded for self-paced mode.
- **Submit your capstone project while submissions are still open**.
- **Peer-review 3 other participants’ capstone projects** after you submit yours.

If you’re late, you may still catch up if the **submission window is still open**.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I registered for the LLM Zoomcamp — when should I expect a confirmation email?,"You don’t need to սպաս expect a confirmation email. You’re accepted, and you can start learning and submitting homework while the form is open. Registration is just to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Do I actually need an acceptance email before I can start the course and hand in homework?,"No. You don’t need an acceptance email — you’re already accepted.

You can start learning and submit homework as long as the homework form is open, even without registering. Registration is only used to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I filled out the registration form, does that mean I’m officially on a checked list for the course?","No. Registration is only to gauge interest, and it is not checked against a registered list. You can start learning and submitting homework as long as the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is registering for the LLM Zoomcamp required, or is it just for estimating interest before the course starts?","Registering is **not required**. It’s just used to **gauge interest before the course starts**.

You can also start learning and submitting homework while the form is open without registering.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
Can I begin learning and submit homework even if I never got any email after signing up?,"Yes — you can start learning and submit homework even if you never received a confirmation email. The course says you’re accepted, and registration isn’t required for homework submission while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
How do I join the Office Hours or live workshop if I don’t have the Zoom link?,"You don’t need the Zoom link to join. Students participate via **YouTube Live**, and the **video URL is posted in the announcements channel on Telegram & Slack** before the session begins. You can also watch live on the **DataTalksClub YouTube Channel**.

If you’re live, submit questions through **Slido** (the link is pinned in the chat).","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram & Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Where can I watch the live sessions for the course, and how do I ask questions during them?","You can watch the live sessions on the DataTalksClub YouTube Channel, and the video URL is also posted in the announcements channel on Telegram and Slack before the session starts.

To ask questions during the live sessions, use Slido — the Slido link is pinned in the chat when the session is live. Don’t post questions in the chat, because they may be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram & Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
