problem_id,problem_text,answer
2374,Find the value of the expression $\dfrac{17}{5} :\dfrac{34}{3} +1.3$.,1.6
4723,"In a company of 30 people, 25 use the social network ""Odnoklassniki"" and 10 use the social network ""VKontakte"". Choose the statements that are true under the given conditions.

\begin{center}
\begin{tabularx}{\textwidth}{p{0.1cm}X}  
1) & In this company, there will be 10 people who do not use either ""Odnoklassniki"" or ""VKontakte"". \\ 
2) & In this company, there will be at least 5 people using both networks. \\ 
3) & There will not be a single person in this company who uses only ""Odnoklassniki"". \\ 
4) & No more than 10 people in this company use both networks. \\ 
\end{tabularx}\end{center}

In the answer, write the numbers of the selected statements without spaces, commas, or other additional symbols.",24
7135,The number of road traffic accidents (RTAs) in the summer period was 0.68 of the number of RTAs in the winter period. By what percentage did the number of road traffic accidents decrease in the summer compared to the winter?,32
5814,Find the value of the expression $\dfrac{2\strut^{-5} \cdot 2\strut^{9} }{2\strut^{-4} } $.,256
9237,"A traveler from Moscow wants to visit four cities of the Golden Ring of Russia: Vladimir, Yaroslavl, Suzdal, and Rostov. The travel agency offers routes that include visits to some of the cities of the Golden Ring. Information about the cost of tickets and routes is presented in the table.

\begin{center}
\begin{tabular}{|c|c|c|c|}
\hline
Route number&Visited cities&Cost (rubles)\\\hline
1&Suzdal, Yaroslavl, Vladimir&3900 \\\hline
2&Rostov, Vladimir&2400 \\\hline
3&Yaroslavl, Vladimir&2100 \\\hline
4&Suzdal&1650 \\\hline
5&Rostov, Suzdal&2700 \\\hline
6&Yaroslavl, Rostov&2350 \\\hline
\end{tabular}
\end{center}

Which routes should the traveler choose to visit all four cities and spend less than 5000 rubles?

In the answer, specify any one set of route numbers without spaces, commas, or other additional symbols.",53
10703,"At the end of the term, Vovochka wrote down all his grades in a row for one of the subjects; there were 5 of them, and he placed multiplication signs between some of them. The product of the resulting numbers turned out to be 5575. What is Vovochka's grade for the term in this subject, if the teacher only gives grades of ""2,"" ""3,"" ""4,"" or ""5,"" and the final grade for the term is the arithmetic mean of all the current grades, rounded according to the rounding rules? (For example, 3.2 rounds to 3; 4.5~--- to 5; and 2.8~--- to 3.)",3
9621,"Find a four-digit number that is 11 times smaller than the cube of a certain natural number. In your answer, provide any one such number.",27000; 64000
4318,Find the value of the expression $\dfrac{\sqrt{8}}{\sqrt{2}}$.,2
7549,"The harmonic mean of three numbers $a$, $b$, and $c$ is calculated using the formula $h=\left(\dfrac{\dfrac{1}{a} +\dfrac{1}{b} +\dfrac{1}{c} }{3} \right)^{-1}$. Find the harmonic mean of the numbers $\dfrac{1}{9} $, $\dfrac{1}{10}$, and $\dfrac{1}{11}$.",0.1
4405,Find \(\tan x\) if \(\sin x = \dfrac{6}{\sqrt{61}}\) and \(0^\circ < x < 90^\circ\).,1.2
13660,They mixed 8 liters of a 15% solution of a substance with 12 liters of a 40% solution of the same substance. What is the concentration percentage of the resulting solution?,30
5206,Find the root of the equation $\sqrt{6x+13} -11=0$.,18
5878,Find the value of the expression $\dfrac{49\strut^{3} }{7\strut^{3} } $.,343
12275,"In Table 1, the minimum required scores for the Unified State Exam (ЕГЭ) for four subjects, necessary for applying to Faculties 1-6, are given.
\begin{flushright}\textit{Table 1}\end{flushright}
\begin{center}
\begin{tabularx}{\textwidth}{|>{\centering\arraybackslash}p{0.8in}|>{\centering\arraybackslash}p{0.6in}|c|c|>{\centering\arraybackslash}X|} \hline
\diaghead(3,-2){SubjectDept}{Subject}{Faculty} & Russian Language & Social Studies & History & Foreign Language \\ \hline
1 & 50 & 60 & 60 & 50 \\ \hline
2 & 27 & 42 & 32 & 40 \\ \hline
3 & 40 & 70 & 32 & 60 \\ \hline
4 & 36 & 42 & 50 & 22 \\ \hline
5 & 27 & 65 & 32 & 55 \\ \hline
6 & 27 & 42 & 60 & 22 \\ \hline
\end{tabularx}
\end{center}

In Table 2, the Unified State Exam (ЕГЭ) scores in five subjects for applicant B are given.
\begin{flushright}\textit{Table 2}\end{flushright}
\begin{center}
\begin{tabularx}{\textwidth}{|c|*{5}{@{}>{\centering\arraybackslash}X@{}|}} \hline
Subject & Russian Language & Social Studies & History & English Language & German Language \\ \hline
Scores & 68 & 65 & 58 & 64 & 40 \\ \hline
\end{tabularx}
\end{center}

Select the faculties to which applicant B can apply. In your answer, specify the numbers of the selected faculties without spaces, commas, or any other additional symbols.",245
5766,Find the value of the expression \(1.26 \div 1.4 - 0.5\).,0.4
3205,Find the value of the expression $5\strut^{\log_{5} 2+1}$.,10
8081,Find the value of the expression \(\dfrac{\sqrt{5} \cdot \sqrt{6}}{\sqrt{2 \cdot 15}}\).,1
2415,Find the value of the expression \( 36 \cdot \left( \dfrac{5}{6} - \dfrac{7}{36} - \dfrac{9}{12} \right) \).,-4
4965,"Establish the correspondence between the quantities and their possible values: match each element of the first column to the corresponding element of the second column.

\vspace{\medskip}

\begin{center}\hyphenpenalty=10000\begin{tabular}{p{8cm}p{5cm}}
QUANTITIES & VALUES \\
A) mass of a medicine tablet & 1) $3.3464 \cdot 10^{-27}$ kg \\
B) mass of the Earth & 2) 100 tons \\
C) mass of a hydrogen molecule & 3) 500 mg \\
D) mass of an adult whale & 4) $5.9726 \cdot 10^{24}$ kg \\
\end{tabular}\end{center}

\vspace{\medskip}

In the table below, under each letter corresponding to a quantity, indicate the number of its possible value.

\vspace{\medskip}

\begin{tabular}{|c|c|c|c|} \hline
A & B & C & D \\ \hline
 &  &  &  \\ \hline
\end{tabular}",3412
7643,"Each of the four inequalities in the left column corresponds to one of the solutions in the right column. Establish the correspondence between the inequalities and their solutions.

\begin{center}
\hyphenpenalty=10000
\renewcommand{\arraystretch}{2}
\begin{tabularx}{\textwidth}{{>{\raggedright}X>{\raggedright\arraybackslash}X}} 
\multicolumn{1}{C}{INEQUALITIES} & \multicolumn{1}{C}{SOLUTIONS} \\
A) $\log_{4} x > 1$ & 1) $0 < x < \dfrac{1}{4}$ \\ 
B) $\log_{4} x > -1$ & 2) $x > \dfrac{1}{4}$ \\ 
C) $\log_{4} x < -1$ & 3) $0 < x < 4$ \\ 
D) $\log_{4} x < 1$ & 4) $x > 4$ \\
\end{tabularx}\end{center}\vspace{\medskip}

Fill in the provided table in the answer with the corresponding solution number under each letter.

\vspace{\baselineskip}\begin{tabular}{|*{4}{C|}} \hline A & B & C & D \\ \hline & & & \\ \hline\end{tabular}\end{center}\vspace{\medskip}",4213
10661,"Several consecutive pages have fallen out of a book. The number of the last page before the missing pages is 274, and the number of the first page after the missing pages uses the same digits but in a different order. How many pages have fallen out?",76
2851,Find the value of the expression \(9\cdot 10^{2} +3\cdot 10 +7\cdot 10^{3}\).,7930
11878,"For natural numbers \( A \), \( B \), and \( C \), it is known that each of them is greater than 5 but less than 9. A natural number was chosen, then it was multiplied by \( A \), then \( B \) was added to the resulting product, and \( C \) was subtracted. The result was 340. What was the chosen number?",57
3509,"To service an international seminar, it is necessary to assemble a group of translators. Information about the candidates is presented in the table.

\begin{tabularx}{\textwidth}{|C|C|>{\centering\arraybackslash}X|} \hline
Translator Number & Languages & Service Cost \newline (rubles per day) \\ \hline
1 & Spanish & 2850 \\ \hline
2 & Spanish, English & 6050 \\ \hline
3 & English & 1900 \\ \hline
4 & Spanish, French & 5950 \\ \hline
5 & French, German & 6800 \\ \hline
6 & German & 4050 \\ \hline
\end{tabularx}

Using the table, assemble at least one group in which the translators together know all four languages: English, German, Spanish, and French, and the total cost of their services does not exceed 12,000 rubles per day. In the answer, indicate any one set of translator numbers without spaces, commas, or other additional symbols.","135, 346"
